gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	129738	35826	0	10	0	0	50	0	2176650	1.167357e-06	2.201869e-02
SF3B1	736523	276	30	398664	109746	0	12	0	0	50	0	2667084	9.115418e-06	5.925914e-02
IGLL5	223193	631	29	62454	19824	0	6	0	0	50	0	1874334	9.425163e-06	5.925914e-02
NFATC1	213864	598	6	287910	92232	0	2	0	0	50	0	2355150	2.088563e-02	1
MTUS1	457439	237	-5	414708	111972	0	2	0	0	50	0	2683002	2.245277e-02	1
ATM	415837	582	16	949074	237720	0	6	0	0	50	0	2752386	2.296349e-02	1
RPS15	2352825	221	38	44226	12978	0	2	0	0	50	0	2162496	2.535371e-02	1
PGPEP1	1294357	210	39	63966	17682	0	1	0	0	50	0	2603496	2.841085e-02	1
RAB10	591333	135	44	63042	15456	0	1	0	0	50	1	2265606	3.612352e-02	1
PDCD2L	689668	292	2	109158	30072	0	1	0	0	50	0	3464622	3.722440e-02	1
BTG3	101069	479	-5	90972	23814	0	1	0	0	50	0	2761458	3.752096e-02	1
FAM86B1	475976	625	-1	88662	26880	0	1	0	0	50	0	2675736	4.065344e-02	1
TNFSF13B	66992	899	1	85890	24990	0	1	0	0	50	0	2316174	4.318834e-02	1
ASB3	NaN	NaN	NaN	159558	42546	0	1	0	0	50	1	4719834	4.386151e-02	1
PILRB	1430637	204	54	78540	9660	0	1	0	0	50	0	2145612	4.424322e-02	1
DHRS7C	77786	204	-62	93660	27048	0	1	0	0	50	0	2543352	4.447549e-02	1
DAO	494991	393	49	106470	30114	0	1	0	0	50	0	2848566	4.511918e-02	1
CRKL	523674	192	49	88956	26964	0	1	0	0	50	0	2290932	4.759644e-02	1
KIF25	142012	702	-17	113988	35826	0	1	0	0	50	1	3373356	4.866670e-02	1
MYD88	302137	411	32	96474	25746	0	1	0	0	50	0	2453766	5.087565e-02	1
NFKBIA	416091	125	31	95340	27384	0	1	0	0	50	0	2328228	5.204236e-02	1
MGAT1	830596	566	25	127302	41286	0	1	0	0	50	0	3351180	5.215109e-02	1
ZNF491	739660	633	-2	133770	32298	0	1	0	0	50	0	2845920	5.495878e-02	1
BCL2	207116	522	60	71484	23898	0	2	0	0	50	0	1745268	5.560172e-02	1
PARVG	201266	327	30	103488	28056	0	1	0	0	50	0	2301600	5.642646e-02	1
TMEM129	867402	350	39	105504	33222	0	2	0	0	50	0	2497698	5.760193e-02	1
WNT8A	1044706	377	41	108192	27636	0	1	0	0	50	0	2137884	6.268618e-02	1
CAPZA3	82407	911	-29	90132	23520	0	1	0	0	50	2	2007642	6.913696e-02	1
LCE1B	64902	818	18	34944	10038	0	1	0	0	50	1	2439108	7.399104e-02	1
POF1B	105434	NaN	-3	186060	45024	0	1	0	0	50	0	3025134	7.487471e-02	1
GABRA3	237855	NaN	-32	149142	41748	0	1	0	0	50	0	2467920	7.521367e-02	1
EGR2	176901	852	32	135534	45780	0	2	0	0	50	1	2752260	7.591673e-02	1
KHDC1	742452	565	13	50148	13734	0	1	0	0	50	0	2875404	7.694410e-02	1
MRPL43	1020226	247	40	128856	32424	0	1	0	0	50	0	2378418	7.803868e-02	1
CABP1	1678287	311	38	129696	42672	0	1	0	0	50	0	2394168	8.679373e-02	1
LY6D	427585	373	34	38094	11928	0	1	0	0	50	0	2073246	8.687606e-02	1
PPM1D	288701	328	15	178836	52752	0	1	0	0	50	0	2664858	9.112054e-02	1
KRTAP4-1	996799	468	-7	38808	10332	0	1	0	0	50	0	2022300	9.284216e-02	1
IKZF3	1607516	292	26	158634	37926	0	2	0	0	50	0	2254434	9.302044e-02	1
OR5M8	NaN	NaN	NaN	91560	26376	0	1	0	0	50	1	4703664	9.312661e-02	1
AMTN	264427	861	27	63504	19908	0	1	0	0	50	0	2648940	9.315443e-02	1
THEMIS	191535	553	-9	204498	55944	0	1	0	0	50	0	2722440	9.510806e-02	1
EIF5A	1911735	206	36	57288	15414	0	1	0	0	50	0	2604000	9.560597e-02	1
BIRC3	462955	280	5	184716	48006	0	1	0	0	50	1	2746044	9.576846e-02	1
NR5A1	492584	353	24	136416	41244	0	1	0	0	50	0	2001678	1.010685e-01	1
SLC22A2	653647	326	-9	166824	48384	0	1	0	0	50	0	2202312	1.025395e-01	1
TNFSF18	251425	492	0	61026	15708	0	1	0	0	50	1	2538984	1.034285e-01	1
HIST1H2BM	267617	634	32	37086	11172	0	1	0	0	50	0	1829352	1.041515e-01	1
HIST1H2AG	227588	622	29	37002	13020	0	1	0	0	50	0	2030196	1.049083e-01	1
DDX31	1546589	581	42	257964	74550	0	2	0	0	50	0	3422286	1.055236e-01	1
HES6	349323	252	28	64344	22218	0	1	0	0	50	0	3624894	1.071171e-01	1
TOP1MT	1770114	220	27	184758	49854	0	1	0	0	50	0	2584218	1.078395e-01	1
IQCB1	371177	520	32	185262	47712	0	1	0	0	50	1	2515968	1.089396e-01	1
C3orf43	1180405	156	30	64638	17640	0	1	0	0	50	0	2374890	1.092690e-01	1
CLEC5A	198115	856	-6	60606	13860	0	1	0	0	50	1	2478378	1.125953e-01	1
RERGL	21334	1070	-35	63882	16254	0	1	0	0	50	1	2635290	1.134107e-01	1
TMBIM4	243040	696	5	72576	21042	0	1	0	0	50	0	2501772	1.177423e-01	1
RPS6	498767	339	12	75978	21546	0	1	0	0	50	0	2980950	1.190085e-01	1
CLEC4A	142724	300	23	74718	17766	0	1	0	0	50	0	2423358	1.202747e-01	1
GJA5	NaN	NaN	NaN	104832	31374	0	1	0	0	50	1	4708662	1.223455e-01	1
SLC6A6	484954	242	47	189378	52668	0	1	0	0	50	0	2159472	1.228435e-01	1
ZNF676	58109	1305	-63	181356	42294	0	1	0	0	50	0	2735124	1.245670e-01	1
CD83	210380	594	40	62202	17682	0	1	0	0	50	0	2179926	1.268942e-01	1
SOX12	879317	185	41	89586	29862	0	1	0	0	50	0	2471658	1.284858e-01	1
AIFM1	379257	NaN	58	200382	57540	0	1	0	0	50	0	2094372	1.298149e-01	1
ACOT12	114956	831	16	171528	45948	0	1	0	0	50	1	2100378	1.303369e-01	1
WFDC1	585154	396	8	66486	20076	0	1	0	0	50	0	2673678	1.361432e-01	1
TRIM48	981	1138	-38	70686	17010	0	1	0	0	50	1	2499714	1.371482e-01	1
OR2B6	225015	562	24	89880	28560	0	1	0	0	50	0	2544066	1.375005e-01	1
SOX14	85683	880	-2	69678	21924	0	1	0	0	50	0	2602698	1.400743e-01	1
FGF18	300840	347	30	62916	17724	0	1	0	0	50	0	2370018	1.401139e-01	1
CNOT7	237338	387	4	89712	21924	0	1	0	0	50	0	2393286	1.409302e-01	1
CACNG4	293409	491	-23	96978	28770	0	1	0	0	50	0	3461514	1.430046e-01	1
RDH16	2103486	286	26	93618	28098	0	1	0	0	50	0	2878806	1.430232e-01	1
CRCP	501759	345	35	56280	13902	0	1	0	0	50	2	2368380	1.461658e-01	1
OR56B4	465433	806	-1	92106	28602	0	1	0	0	50	0	2363718	1.467507e-01	1
CYTH3	NaN	NaN	NaN	126840	30408	0	1	0	0	50	1	4707696	1.481261e-01	1
BRF1	899979	260	32	206682	58170	0	1	0	0	50	0	2211468	1.484280e-01	1
SLITRK3	26494	1315	-17	284592	85596	0	1	0	0	50	1	3018792	1.492037e-01	1
SIK1	807666	312	65	229110	73794	0	1	0	0	50	0	2436882	1.495563e-01	1
OR10A7	411183	816	-1	92232	27468	0	1	0	0	50	0	2300928	1.499195e-01	1
ERCC2	1280459	215	23	237426	68754	0	1	0	0	50	0	2500260	1.509654e-01	1
ZNF580	1077402	254	-10	48216	17682	0	1	0	0	50	0	2010456	1.516100e-01	1
RPS9	717623	458	-6	58086	17892	0	1	0	0	50	0	2126922	1.518291e-01	1
PMS1	424679	385	20	287448	71274	0	1	0	0	50	0	2436126	1.531296e-01	1
OR4E2	658946	624	20	90888	27552	0	1	0	0	50	1	2792286	1.535990e-01	1
TSPAN7	99411	NaN	23	76608	21672	0	1	0	0	50	0	2065392	1.548066e-01	1
PCDHAC2	931701	643	-10	297318	96054	0	2	0	0	50	0	2840250	1.550792e-01	1
